,_cached_page_id,_template,_type,description,details,floor,location,pow,price,rooms,url
7388,75c5b2a16c2d7ef4fa05564e133cc94b085ed21e,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Ofertą sprzedaży jest mieszkanie położone w centrum miasta. Dookoła znajduje się wiele lokali usługowych, uczelnie wyższe, szkoły, przedszkola, węzły komunikacyjne, Park Kasprowicza, Pleciuga, Urząd Miasta oraz wiele innych. Lokalizacja pozwala na zaaranżowanie przestrzeni pod działalność gospodarczą, ewentualnie hostel czy podobnego typu usługi. W budynku niedawno przeprowadzono remont klatki schodowej oraz remont dachu. W przyszłości planowane jest odnowienie elewacji zewnętrznej budynku oraz zamontowanie monitoringu. Powierzchnia mieszkania wynosi 124,25m2 i składa się z 4 przestronnych pokoi, kuchni, łazienki z toaletą, przedpokoju oraz pomieszczenia gospodarczego (pralni). Powierzchnia poszczególnych pomieszczeń przedstawia się następująco: ok. 27m2, 24m2, 22m2, 16m2, kuchnia: ok. 10m2, łazienka: ok. 8m2, przedpokój: ok. 6m2. W dwóch pokojach na podłogach znajdują się oryginalnie zachowane deski (cyklinowane 3 lata temu), w pozostałych dwóch panele. Ściany są gładkie i pomalowane na jasne kolory (w 1 pokoju tapeta), w przedpokoju na ścianach tynk ozdobny. Mieszkanie wykończone w podwyższonym standardzie. Instalacje elektryczne, wodno-kanalizacyjne i gazowe zostały wymienione na nowe. Do nieruchomości przynależy duża piwnica o powierzchni ok. 18m2 oraz strych, do użytku dla mieszkańców. Czynsz wraz z funduszem remontowym wynosi ok. 300zł. Istnieje możliwość dokupienia wyposażenia, które jest widoczne na zdjęciach. Polecam mieszkanie ze względu na lokalizację i przestronny rozkład. Zapraszam na prezentację. Zobacz podobne oferty na Zobacz jak możesz sprzedać swoją nieruchomość Oferta wysłana z programu dla biur nieruchomości - asariWEB Kontakt Martyna Chmielewska Głogoza Telefon :",rynek: wtórny rodzaj zabudowy: kamienica materiał budynku: cegła okna: plastikowe ogrzewanie: gazowe rok budowy: 1900 stan wykończenia: do zamieszkania czynsz: 300 zł forma własności: pełna własność,3.0,"Mieszkanie na sprzedaż , Szczecin , Śródmieście , Wielkopolska - Zobacz na mapie",124.25,439,4.0,http://otodom.pl/oferta/mieszkanie-124-25-m-szczecin-ID1zb90.html
4190,d2c2d761a413a71b3e56d18fd10b523cd4e6c0d5,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Ładne dwupokojowe mieszkanie na pierwszym pietrze, czteropiętrowego bloku, znajdujące się w centrum. Główne atuty nieruchomości: • cicha i spokojna okolica • w pełni wykończony lokal • bliskość szkoły, przedszkola, gimnazjum Nieruchomość złożona z: • pokój z aneksem kuchennym 22,2 m.kw • pokój 12 m.kw • łazienka 6 m.kw • przedpokój 4 m.kw W skład nieruchomości wchodzi też: • miejsce parkingowe Typ ogrzewania: ogrzewanie miejskie. Typ własności: własność. W pokojach na podłodze panele. Szafki w aneksie kuchennym sa wykonane na wymiar, kuchenka z płytą ceramiczną. Łazienka razem z wc w ładnej glazurze i terakocie. W pobliżu znajduje się szkoła, sklepy, przystanki komunikacji miejskiej. Dodatkowo można zakupić miejsce w parkingu podziemnym. Metrohouse posiada jeszcze 49 mieszkań 2-pokojowych w tej okolicy. ZADZWOŃ: ( pokaż numer ) . Czekamy na telefon od Ciebie. --- Zakup lub najem nieruchomości przez Agencję Metrohouse to: • bezpieczeństwo transakcji • dobra cena • elastyczne podejście Możesz skorzystać z: • opieki prawnej przy transakcji • kupna bez prowizji • wsparcia wykwalifikowanych negocjatorów Kontakt Metrohouse Telefon :",rynek: wtórny rodzaj zabudowy: blok materiał budynku: cegła ogrzewanie: miejskie rok budowy: 2000 stan wykończenia: do zamieszkania,1.0,"Mieszkanie na sprzedaż , Szczecin , Śródmieście , Chodkiewicza - Zobacz na mapie",44.2,205,2.0,http://otodom.pl/oferta/mieszkanie-44-20-m-szczecin-ID2Nh2W.html
3112,083a22daffb976ec55291d7f38542200c9c50671,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Oferujemy na sprzedaż 3 pokojowe mieszkanie położone na 8 piętrze w ocieplonym bloku. Lokal po remoncie, powierzchnia 59,9m2. Mieszkanie składa się z oddzielnej kuchni, łazienki, osobnego wc oraz 3 pokoi w tym jeden przechodni. Ściany gładzone malowane, na podłodze panele, kuchnia łazienka i wc, glazura i terakota. W przedpokoju zabudowa szafy typu Komandor, oświetlenie LED wbudowane w sufit Okna pcv, drzwi wejściowe antywłamaniowe. Do mieszkania przynależy piwnica. Ogrzewanie i ciepła woda z sieci miejskiej. Zapraszam na prezentacje. - Idea Nieruchomości ul. Niemcewicza 14H 71-520 Szczecin tel. ( pokaż numer ) , ( pokaż numer ) Chcesz kupić nieruchomość?? Skorzystaj z naszych pakietów promocyjnych, wejdź na: Chcesz się dowiedzieć więcej o możliwości finansowania, koniecznie odwiedź: Oferta wysłana z programu dla biur nieruchomości - asariWEB Kontakt Agnieszka Matwiejczyk-Piegat Telefon :",rynek: wtórny rodzaj zabudowy: blok materiał budynku: wielka płyta okna: plastikowe ogrzewanie: miejskie rok budowy: 1970 stan wykończenia: do zamieszkania czynsz: 620 zł forma własności: spółdzielcze wł. z KW,8.0,"Mieszkanie na sprzedaż , Szczecin , Przyjaźni - Zobacz na mapie",59.9,275,3.0,http://otodom.pl/oferta/3-pokoje-po-remoncie-cena-275-tys-ID2RalF.html
5838,bb6cb7ab912ca17448dad28f7e942540aee2c078,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Mieszkanie wykończone pod klucz.!!!!!!! Oferta sprzedaży mieszkania na nowym osiedlu,przy ul.Ku Słońcu. Mieszkanie 4 pokojowe o powierzchni 82,8 m2, na pierwszym piętrze, w budynku z roku 2014 roku. Salon z aneksem kuchennym 36,3 m2 z wyjściem na loggie 7,6 m2, trzech pokoi 13,2/9,3/13 m2, na podłodze panele, ściany gładzone pomalowane, kuchnia w formie aneksu, w eleganckiej zabudowie, wyposażona w sprzęt AGD. Łazienka 5,2m2 i wc 1,9 m2 osobno, w nowoczesnej glazurze i terakocie, przedpokój 3,9 m2. Mieszkanie wykończone z wysokiej jakości materiałów, urządzone w eleganckim stylu., Niski koszt utrzymania mieszkania, czynsz 220 zł, ogrzewanie i ciepła woda miejska. Brak instalacji gazowej. Rewelacyjna lokalizacja, zamknięte, nowe osiedle, z łatwym dostępem do komunikacji miejskiej. Miejsce postojowe w garażu podziemnym 25 tys. Zapraszam na prezentację. Kontakt Krzysztof Wala Telefon :",rynek: pierwotny rodzaj zabudowy: apartamentowiec materiał budynku: inne okna: plastikowe ogrzewanie: miejskie stan wykończenia: do zamieszkania czynsz: 220 zł forma własności: pełna własność,1.0,"Mieszkanie na sprzedaż , Szczecin , Gumieńce - Zobacz na mapie",82.8,460,4.0,http://otodom.pl/oferta/mieszkanie-82-80-m-szczecin-ID2opiy.html
8315,e2498279bd825b20bdedc59681178dbd5d8f97e7,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Odbiór budynku w grudniu 2016r. Nowa inwestycja w Śródmieściu - nowoczesne, starannie zaprojektowane osiedle. Ide­alnie położone, świetnie skomunikowane, z dostępem do wszelkich miejskich udogodnień. Mieszkanie 3 pokojowe o pow. 54,92m2 składająca się z salonu z aneksem kuchennym 20,43m2 z wyjściem na balkon typu loggia 3,66m2, sypialni 9,32m2, pokoju 9,85m2, przedpokoju 9,85m2 oraz łazienki z wc 4,33m Standard deweloperski. Ogrzewanie miejskie, czynsz ok 5zł/m2. Budynek apartamentowy 5 piętrowy z windą. Możliwość zakupu komórki w cenie 5.000zł oraz garażu w parkingu podziemnym. W bliskiej odległości: przedszkola, szkoły, przychodnie, centra handlowe oraz obiekty kulturalne. Jakość zabudowy harmonizuje z wyjątkowością lokalizacji - najwyższej jakości materiały, energooszczędne i przyjazne. Podziemne parkingi dla mieszkańców, starannie zaplanowana przestrzeń wokół budynków i miejsca do rekreacji dla dzieci. Zaletą mieszkań na najwyższych kondygnacjach są duże tarasy. Polecam i zapraszam do prezentacji! Powyższa propozycja nie jest ofertą handlową w rozumieniu przepisów Kodeksu Cywilnego, a podane w niej informacje są spisane według zapewnień właściciela nieruchomości i zaleca się ich osobiste sprawdzenie. Oferta wysłana z programu dla biur nieruchomości - asariWEB Kontakt Patrycja Grabczak Telefon :",,1.0,"Mieszkanie na sprzedaż , Szczecin , Centrum , Janusza Kusocińskiego - Zobacz na mapie",54.92,280,3.0,http://otodom.pl/oferta/mieszkanie-54-92-m-szczecin-ID2cHyx.html
7689,82d8c21289f426af931087fc22abdc345698e426,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Przestronne, słoneczne mieszkanie w atrakcyjnej okolicy na prawobrzeżu. Blisko obiekty użyteczności publicznej, szkoły, Puszcza Bukowa. W powierzchnię mieszkania wchodzą się 4 pokoje (23/11/10/7 m2), kuchnia powiększona o 5 pokój (17,5m2; możliwość ponownego wyodrębnienia pokoju), łazienka (4m2) oraz osobne WC. Możliwość wykupienia garażu (18m2, 40.000 zł). Polecam i zapraszam na prezentację! Opis i cena powyższej oferty nie jest ofertą w rozumieniu Kodeksu Cywilnego i ma jedynie charakter informacyjny, Arka nie ponosi odpowiedzialności za jej kompletność i zgodność ze stanem faktycznym. Oferta wysłana z programu dla biur nieruchomości - asariWEB Kontakt Alicja Dąbkowska Telefon :",,3.0,"Mieszkanie na sprzedaż , Szczecin , Bukowe - Zobacz na mapie",84.5,340,4.0,http://otodom.pl/oferta/mieszkanie-84-50-m-szczecin-ID1dd94.html
6568,2ba87e87d6dac575a46b1b969228cdd384b5fed4,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis OFERTA SPRZEDAŻY MIESZKANIA trzy-pokojowego W SZCZECINIE W STANDARDZIE DEVELOPERSKIM o powierzchni 58,17 m2 na Warszewie. Mieszkanie składa się z salonu z aneksem kuchennym 24,41 m2, 2 sypialni 9,86/10,65 m2,łazienki z wc 4,78 m2, korytarza 8,47 m2. Mieszkanie oddawane w standardzie developerskim. W załączniku rzut mieszkania wraz z podaną wielkością pomieszczeń. W ofercie dostępne są jeszcze mieszkania 2,3,4 pokojowe o pow 46 do 93 m2. Cena od 4600 do 5400 w zależności od mieszkania. Lokale parterowe posiadają przestronne ogródki.Charakterystyczne dla tych mieszkań są duże tarasy, szczególnie na ostatniej kondygnacji. Budynki apartamentowe posiadają garaże podziemne ze stanowiskami postojowymi oraz wyposażone w windę. Inwestycja zrealizowana w kilku etapach Zapraszam do prezentacji. Kontakt Krzysztof Wala Telefon :",,1.0,"Mieszkanie na sprzedaż , Szczecin , Warszewo - Zobacz na mapie",58.17,302,3.0,http://otodom.pl/oferta/mieszkanie-58-17-m-szczecin-ID2cZNl.html
5733,1b93e4a8df353af7780b2a13d0a945a6cb07f876,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Część domu szeregowego (75m2) z ogrodem (184m2) i murowanym garażem w cenie. Duża piękna kuchnia (12m2), łazienka (6,5m2) w terakocie i glazurze z ogromną wanną, dwa pokoje (16m2, 13m2), ściany gładzone malowane, na podłogach wysokiej jakości panele. Powierzchnia użytkowa (54,50m2). Mieszkanie bardzo ciepłe, zadbane, nie wymaga żadnych dodatkowych nakładów finansowych. Mieszkanie jest BEZCZYNSZOWE. Okna nowe PCV, zainstalowane rolety antywłamaniowe zewnętrzne. Ogrzewanie i ciepła woda z nowego pieca dwuobiegowego. Polecam ze względu na atrakcyjna cene, a także świetną lokalizację, jaką są Gumieńce. Zapraszam na prezentację. Sprawdź naszą pełną ofertę na stronie E L I T E . N I E R U C H O M O S C I . P L gdzie znajdziecie Państwo ponad 20.000 aktualnych ofert nieruchomości ! Każdy zainteresowany zakupem nieruchomości z naszej bazy ofert ma gwarantowaną obsługę w zakresie uzyskania kredytu (bez prowizji od kupującego i dodatkowych kosztów związanych z załatwieniem kredytu). Współpracując z największym brokerem kredytowym na rynku polskim możemy sprawdzić dla Państwa zdolność kredytową w ponad 20 bankach. O szczegóły proszę pytać agenta odpowiedzialnego za to ogłoszenie. *****KUPUJEMY MIESZKANIA Z OBCIĄŻENIAMI I DŁUGAMI ZA GOTÓWKĘ***** ZADZWOŃ ( pokaż numer ) Powyższe ogłoszenie ma wyłącznie charakter informacyjny. Nie stanowi ono oferty w myśl art. 66 i n. ustawy z dnia 23.04.1964r. Kodeks cywilny (Dz.U. 1964r. Nr 16, poz. 93, ze zm.). Oferta wysłana z programu dla biur nieruchomości - asariWEB Kontakt Paulina Nosek Telefon :",rynek: wtórny materiał budynku: cegła ogrzewanie: inne rok budowy: 1999 stan wykończenia: do zamieszkania forma własności: pełna własność,2.0,"Mieszkanie na sprzedaż , Szczecin , Gumieńce - Zobacz na mapie",70.0,339,2.0,http://otodom.pl/oferta/mieszkanie-70-m-szczecin-ID2jDpN.html
3192,90f56f301b976b3f7d323d62feecd143b1c7755e,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Szczecin, Niebuszewo, mieszkanie, 2 pokoje, sprzedaż. WGN Szczecin, Al. Bohaterów Warszawy 40, Galeria Turzyn, I piętro Na sprzedaż ładne, słoneczne oraz rodzinne 2 pokojowe mieszkanie o powierzchni 37m2 położone na 4 piętrze niskiego, ocieplonego budynku w dzielnicy Niebuszewo. Na powierzchnię mieszkania składa się duży pokój z wyjściem na balkon, mniejszy pokój, przedpokój, kuchnia z oknem oraz łazienka połączona WC. Na podłodze w pokojach parkiet, ściany malowane. Kuchnia widna, na podłodze terakota. Łazienka z kabiną prysznicową w glazurze i terakocie. WIĘCEJ SZCZEGÓŁÓW NA TEMAT OFERTY POD NUMEREM TEL. ( pokaż numer ) Dzięki swojej cichej lokalizacji bardzo blisko terenów zielonych, w otoczeniu Parku Kasprowicza, sklepów, szkół, miejskiej infrastruktury czy przystanków komunikacji miejskiej mieszkanie bardzo odpowiada pracującemu małżeństwu z uczącymi się dziećmi jak i osobą ceniących ciszę i spokój. NAJWAŻNIEJSZE: Czynsz: 300zł ( ogrzewanie, woda, fundusz remontowy, eksploatacja) Opłaty wg liczników: prąd, woda Woda ciepła: miejska Ogrzewanie: miejskie Dostępne media: woda, kanalizacja, prąd, TV kablowa, internet, telefon, Okna: PCV i drewniane Balkon: tak Widna kuchnia: tak Piwnica: tak Polecam i zapraszam na prezentacje. Przy transakcji zakupu zapewniamy obsługę notarialną oraz dzięki współpracy z ok. 20 Bankami, pomagamy w negocjowaniu jak najniższej raty oraz uzyskaniu optymalnego bankowego kredytu na zakup, budowę lub remont nieruchomości. Kontakt Agnieszka Noga Telefon :",rynek: wtórny czynsz: 300 zł forma własności: pełna własność,4.0,"Mieszkanie na sprzedaż , Szczecin , Niebuszewo , Niebuszewo - Zobacz na mapie",37.0,155,2.0,http://otodom.pl/oferta/mieszkanie-37-m-szczecin-ID2R0rz.html
4079,da9908ef93cbe8c6894e01a89abb3e42308e038e,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Na sprzedaż mieszkanie 2 pokojowe mieszkanie powstałe z adaptacji poddasza. Powierzchnia całkowita to 44m2 + antresola 8 m2, powierzchnia użytkowa to 33 m2 , na którą składa się salon z aneksem kuchennym, sypialnia, łazienka, przedpokój oraz garderoba. Mieszkanie w topowej lokalizacji, widne. Lokal zostanie estetycznie wykończony wysokiej klasy materiałami. Łazienka z wc , w nowoczesnej terakocie i glazurze, ściany w pokojach gładzone i pomalowane, na podłogach panele. Okna firmy Velux, do użytku jest suszarnia znajdująca się na tym samym piętrze. Czynsz administracyjny wynosi ok 300 PLN. Zapraszam na prezentację! - Idea Nieruchomości ul. Niemcewicza 14H 71-520 Szczecin tel. ( pokaż numer ) , ( pokaż numer ) http://idea.szczecin.pl https://www.facebook.com/idea.szczecin Chcesz kupić nieruchomość?? Skorzystaj z naszych pakietów promocyjnych, wejdź na: http://idea.szczecin.pl/pakiety-promocyjne Chcesz się dowiedzieć więcej o możliwości finansowania, koniecznie odwiedź: http://idea.szczecin.pl/kredyty Oferta wysłana z programu dla biur nieruchomości - asariWEB Kontakt Agnieszka Matwiejczyk-Piegat Telefon :",rynek: wtórny rodzaj zabudowy: kamienica materiał budynku: cegła ogrzewanie: gazowe rok budowy: 1930 stan wykończenia: do zamieszkania czynsz: 300 zł,5.0,"Mieszkanie na sprzedaż , Szczecin , Centrum - Zobacz na mapie",33.0,230,2.0,http://otodom.pl/oferta/adaptacja-poddasza-2-pokoje-park-kasprowicza-ID2NQmF.html
